problem_slug,symptom_1,symptom_2,symptom_3,step_1,step_2,step_3,faq_1_q,faq_1_a,faq_2_q,faq_2_a,faq_3_q,faq_3_a
slab-leak,"Warm or damp areas on flooring","Unexpected increase in water usage","Sound of running water with no visible leak","Confirm signs of concealed water loss","Pinpoint the likely leak location","Recommend or complete the required repair","How do I know if I have a slab leak?","Common signs include damp flooring, rising water bills, and unexplained water sounds.","Can a slab leak cause structural damage?","Yes. If left unresolved, ongoing water loss can affect flooring and surrounding surfaces.","Do you need to break the floor immediately?","Not always. The first step is locating the leak accurately before planning repair work."
pool-leak,"Pool water level drops unusually quickly","Wet ground near the pool area","Frequent topping up is required","Check whether water loss is above normal evaporation","Inspect likely leak points around the pool system","Confirm the fault and advise on repair steps","How can I tell if my pool has a leak?","A leak is more likely when water loss is rapid or consistent beyond normal evaporation.","Could the leak be in the pool pipes?","Yes. Pool leaks can come from pipework, fittings, or the pool shell itself.","Should I keep topping up the pool?","Short-term top-ups may help, but the leak should be diagnosed before water loss worsens."
underground-pipe-leak,"Wet patches on paving or garden areas","Pressure drops in the water system","Water bills rise without an obvious cause","Assess the affected area for likely pipe-route issues","Use targeted diagnostics to locate the leak","Repair or isolate the damaged pipe section","What causes underground pipe leaks?","Pipe damage, aging materials, shifting ground, or connection failures are common causes.","Can underground leaks go unnoticed for long?","Yes. Many underground leaks remain hidden until water loss or surface symptoms appear.","Do underground leaks waste a lot of water?","They can, especially when left unresolved for extended periods."
high-water-bill,"Monthly water usage rises unexpectedly","No obvious tap or fixture leaks","Damp areas or hidden leak signs appear on site","Review likely sources of hidden water loss","Test the system for concealed leaks or inefficiencies","Identify the cause and recommend corrective action","Can a hidden leak cause a high water bill?","Yes. Concealed leaks are a common reason for unexpected increases in water usage.","Should I investigate a single high bill?","It is worth checking, especially if the increase is significant or repeats.","Can irrigation or outdoor lines cause this?","Yes. Outdoor leaks and irrigation faults often contribute to unnoticed water loss."
wall-leak,"Damp patches or bubbling paint on walls","Musty odours indoors","Visible staining near plumbing routes","Inspect the wall area and nearby plumbing runs","Locate the source of the leak accurately","Recommend repair steps to stop further moisture damage","What are common signs of a wall leak?","Damp marks, peeling paint, and musty smells are common indicators.","Can a wall leak spread over time?","Yes. Ongoing moisture can affect paint, plaster, and adjacent surfaces.","Is it necessary to open the wall immediately?","Not always. Accurate fault finding should come first to limit unnecessary damage."
kitchen-drain-blocked,"Water drains slowly from the sink","Bad smells come from the kitchen drain","Water backs up when the sink is used","Check the blockage severity and likely cause","Clear the obstruction using the right method","Confirm that normal drainage flow has returned","What usually causes a blocked kitchen drain?","Grease, food residue, and debris build-up are common causes.","Can repeated blockages point to a bigger issue?","Yes. Recurring problems can indicate a deeper line blockage or pipe condition issue.","Should I keep using the sink if it is backing up?","It is better to reduce use until the blockage is cleared to avoid overflow."
sewer-line-blocked,"Multiple fixtures drain slowly at once","Sewer smells are noticeable around the property","Wastewater backs up into lower fixtures","Assess whether the blockage is isolated or in the main line","Clear the sewer obstruction safely","Verify flow and check for recurring causes if needed","How do I know if the sewer line is blocked?","Multiple affected drains and foul odours are common warning signs.","Is a sewer blockage urgent?","Yes. Main sewer issues should be addressed quickly to reduce overflow risk.","Can tree roots cause sewer blockages?","Yes. Root intrusion is a common cause of recurring sewer line problems."
toilet-blocked,"Toilet water rises higher than normal when flushed","Slow draining after flushing","Overflow risk increases with repeated use","Check whether the blockage is local or further down the line","Clear the blockage using an appropriate method","Test the toilet to confirm proper flow","What should I do if my toilet is blocked?","Avoid repeated flushing and arrange clearing before the blockage worsens.","Can a blocked toilet mean a bigger drainage issue?","Yes. If other drains are affected too, the problem may be further down the system.","Is it safe to use chemicals?","Chemical cleaners are not always effective and may not solve the actual blockage."
stormwater-drain-blocked,"Water pools around outdoor drains","Drainage slows during rain","Leaves or debris collect around the inlet","Inspect the drain and surrounding runoff path","Clear debris and the underlying blockage","Confirm water can flow away properly again","Why does a stormwater drain block up?","Leaves, silt, and debris build-up are common causes.","Can blocked stormwater drains damage property?","Yes. Poor drainage can lead to standing water and overflow around structures.","Should stormwater drains be checked before rainy periods?","Yes. Preventive inspection helps reduce overflow risk during heavy rain."
grease-blockage,"Drain flow worsens gradually over time","Kitchen drains smell unpleasant","Water backs up after normal use","Assess the drain for grease-related build-up","Clear the line using a suitable drain-clearing method","Confirm improved flow and provide maintenance advice","What causes grease blockages?","Fats, oils, and food residue can harden inside drain lines over time.","Are grease blockages common in kitchen drains?","Yes. Kitchen drainage is especially vulnerable to grease build-up.","How can I help prevent another grease blockage?","Avoid disposing of oils and heavy food residue into the drain where possible."
