suburb,suburb_slug,city,province,priority
Waterkloof,waterkloof,Pretoria,Gauteng,1
Faerie Glen,faerie-glen,Pretoria,Gauteng,1
Garsfontein,garsfontein,Pretoria,Gauteng,1
Moreleta Park,moreleta-park,Pretoria,Gauteng,1
Menlyn,menlyn,Pretoria,Gauteng,1
Brooklyn,brooklyn,Pretoria,Gauteng,1
Hatfield,hatfield,Pretoria,Gauteng,1
Lynnwood,lynnwood,Pretoria,Gauteng,1
Silver Lakes,silver-lakes,Pretoria,Gauteng,1
Montana,montana,Pretoria,Gauteng,1
Sandton,sandton,Johannesburg,Gauteng,1
Randburg,randburg,Johannesburg,Gauteng,1
Midrand,midrand,Johannesburg,Gauteng,1
Bryanston,bryanston,Johannesburg,Gauteng,1
Fourways,fourways,Johannesburg,Gauteng,1
